time_ms,detector_state,anomaly_belief,anomaly_plausibility,anomaly_decision_score,anomaly_ignorance,detection_conflict,estimated_origin,origin_score,origin_belief,origin_plausibility,origin_margin,origin_ignorance,localization_conflict,propagation_support,observed_evidence_path,alarm,localization_valid,alarm_timestamp_ms,localization_timestamp_ms,detection_fallback,localization_fallback,timing_evidence,timing_detection_reliability,timing_origin_reliability,communication_evidence,communication_detection_reliability,communication_origin_reliability,memory_control_evidence,memory_control_detection_reliability,memory_control_origin_reliability,sensor_control_evidence,sensor_control_detection_reliability,sensor_control_origin_reliability,actuator_evidence,actuator_detection_reliability,actuator_origin_reliability,plant_evidence,plant_detection_reliability,plant_origin_reliability,detection_K_0,localization_K_0,detection_K_1,localization_K_1,detection_K_2,localization_K_2,detection_K_3,localization_K_3,detection_K_4,localization_K_4,detection_K_5,localization_K_5,detection_K_6,localization_K_6,origin_mass_1,origin_mass_2,origin_mass_3,origin_mass_4,origin_mass_5,origin_mass_6,origin_mass_7,origin_mass_8,origin_mass_9,origin_mass_10,origin_mass_11,origin_mass_12,origin_mass_13,origin_mass_14,origin_mass_15,origin_mass_16,origin_mass_17,origin_mass_18,origin_mass_19,origin_mass_20,origin_mass_21,origin_mass_22,origin_mass_23,origin_mass_24,origin_mass_25,origin_mass_26,origin_mass_27,origin_mass_28,origin_mass_29,origin_mass_30,origin_mass_31,detection_mass_normal,detection_mass_abnormal,detection_mass_ignorance
2000,NORMAL,0.00076517232411552939,1,0.00076517232411552939,0.99923482767588445,0,UNKNOWN,0.20022955169723466,0,1,0,0.99923482767588445,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076517232411552939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99923482767588445,0,0.00076517232411552939,0.99923482767588445
2100,NORMAL,0.00061213785929242369,1,0.00061213785929242369,0.99938786214070763,0,UNKNOWN,0.20018364135778774,0,1,0,0.99938786214070763,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061213785929242369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99938786214070763,0,0.00061213785929242369,0.99938786214070763
2200,NORMAL,0.00048971028743393893,1,0.00048971028743393893,0.99951028971256606,0,UNKNOWN,0.20014691308623017,0,1,0,0.99951028971256606,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048971028743393893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99951028971256606,0,0.00048971028743393893,0.99951028971256606
2300,NORMAL,0.00039176822994715118,1,0.00039176822994715118,0.99960823177005287,0,UNKNOWN,0.20011753046898414,0,1,0,0.99960823177005287,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039176822994715118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99960823177005287,0,0.00039176822994715118,0.99960823177005287
2400,NORMAL,0.00031341458395772097,1,0.00031341458395772097,0.99968658541604227,0,UNKNOWN,0.20009402437518731,0,1,0,0.99968658541604227,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031341458395772097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99968658541604227,0,0.00031341458395772097,0.99968658541604227
2500,NORMAL,0.00025073166716617676,1,0.00025073166716617676,0.99974926833283384,0,UNKNOWN,0.20007521950014984,0,1,0,0.99974926833283384,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025073166716617676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99974926833283384,0,0.00025073166716617676,0.99974926833283384
2600,NORMAL,0.00020058533373294143,1,0.00020058533373294143,0.99979941466626709,0,UNKNOWN,0.2000601756001199,0,1,0,0.99979941466626709,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020058533373294143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99979941466626709,0,0.00020058533373294143,0.99979941466626709
2700,NORMAL,0.00016046826698635315,1,0.00016046826698635315,0.99983953173301365,0,UNKNOWN,0.20004814048009589,0,1,0,0.99983953173301365,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016046826698635315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99983953173301365,0,0.00016046826698635315,0.99983953173301365
2800,NORMAL,0.00012837461358908251,1,0.00012837461358908251,0.99987162538641094,0,UNKNOWN,0.20003851238407672,0,1,0,0.99987162538641094,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012837461358908251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99987162538641094,0,0.00012837461358908251,0.99987162538641094
2900,NORMAL,0.00010269969087126601,1,0.00010269969087126601,0.99989730030912871,0,UNKNOWN,0.20003080990726138,0,1,0,0.99989730030912871,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010269969087126601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99989730030912871,0,0.00010269969087126601,0.99989730030912871
