run_id,true_origin_evaluation_only,injected,detected,unknown_at_first_alarm,any_confirmed_unknown,confirmed_unknown_steps,first_unknown_ms,wrong_localized_runtime_steps,diagnostic_path_steps,control_effect,actuator_effect,plant_manifestation,observation_sha256,evidence_sha256,first_alarm_observation_sha256,mixed_origin_equivalence_levels
final_0165,TIMING,1,1,0,0,0,-1,0,0,1,0,0,bf326a7b780a632be48c4eb11de616bdac4627ab85dfefa3bd6f667b251a38d1,e9892df6bcf6df57b27cd9d2fd8478c54f1b7ebe002f9811ce77a612b8be70ab,d3f9f165150d310238a2d51a23422c2ef522a7e645a1d24d2b306ba93fc01486,
final_0166,TIMING,1,1,0,0,0,-1,0,0,1,1,0,6303a1e3d60a642dbb6403e1063a9284814e6cd89e73b1b61310d79b89937d14,335e37e2018422ff8e0cc9592d28b1928304fd46b237543c35c48329b1d893a5,91bfb997c81d019db5614aef84851c5ecdd078bede35ce6c37e194658dec10ba,
final_0167,TIMING,1,1,0,0,0,-1,0,0,1,0,0,1b906ee0a0fd02442265a726681b31c4a9ae6ff63bd6ac45c2491646670d0f6f,b6e44408eb3641216c46d21da58b612c8c317ec3487c0aba3697b808d5628cf1,3270e7eedd660cef55a2baf46283c71184f50de1269f6e49da0b44c1070a8276,
final_0168,TIMING,1,1,0,0,0,-1,0,0,1,1,0,cca87a9f3749a7716f7f5b6bf99c5dbe9e32f841cd6c0c064c5169af76c2891a,6be4868347b92354bbad76b0de6769bf954411a36b8713c442134e09744ba151,3a5bd130ab4700763e5b90bc435465934cc226531cbdc66048581d516fb422b9,
final_0169,TIMING,1,1,0,0,0,-1,0,0,1,0,0,05fbc97993883372c87725d01d27fd6abbf993b7738590dad9e29d1f9ba86c7d,af163a711e1443c7bceef6a0ac6cf697a9ba7a7c1a87a9ab851fec241094a2ab,ce007d4999dc4f2ac3dbe387cf7f5029784e22d9047a7ce0069772b5dd638c97,
final_0170,TIMING,1,1,0,0,0,-1,0,0,1,1,0,cf8e1f8720950aee3ba0fa5645ee968dcae579e623dfe1cb94592e1e3200fc21,e9c5b59cff4e69b21dac1b7b9012b50098d51683a0179643988cd0f62706520a,804e1e1e53820eda848e6cf58aab17d5e148b30435e75cdfefbad59d88174f61,
final_0171,TIMING,1,1,0,0,0,-1,0,0,1,0,0,75956d1ceb0f93f4a4f08427e72e2efb0bab556fcf940eaefb3bbddd701e9367,121eb306cd097591282f7b406eac96c2d966a92553b334fa4f3b5a9cb1e754d6,0f127f2101bbda2db7545af8b0ce7c48e95d33d9703ee69a3862873d674c6d7b,
final_0172,TIMING,1,1,0,0,0,-1,0,0,1,1,0,280c088746417044ebd5de1acdd2215ced1cc51cf0cc0f799d5b2625a1e0ea5e,e9c5b59cff4e69b21dac1b7b9012b50098d51683a0179643988cd0f62706520a,556de093df911b9eec3ce45fb84aca1ebf6bc7b36f4da4b6cc80d5ca6513077f,
final_0173,TIMING,1,1,0,0,0,-1,0,0,1,0,0,bd3ac977cbd2fb295f7073a3be13236cd66919b09349da1a5c4c234e6ddfc507,121eb306cd097591282f7b406eac96c2d966a92553b334fa4f3b5a9cb1e754d6,7af6ce5ed137c20c6a1f52a096826b11b9c6e52758a261c6067febf29148e1f1,
final_0174,TIMING,1,1,0,0,0,-1,0,0,1,1,0,0073d5b70dd583d890080ff67905285397fa76beb7791785605f7e123e6f8bc2,43997e31579c5fd28bf1be2165c8f7ea42b3a7fcc6668b70f8674fc5dd10410c,6c9513f676dab5cdfc996f9ff41f684e34cefe2f8e42567d9accac22b606f630,
final_0175,TIMING,1,1,0,0,0,-1,0,0,1,0,0,4ab6ea9ed212c51d33cfeb1ce8d13ddd2b03650ada4ee8874ab484b6d21bbc94,d99793e79832b6f189f756a126f63f7fcc6b18061237b3699841dea2e4881a8d,70ee21a9805487d707a83cf5533926f73ac55818245c615666bdc8fbb0b1e3a9,
final_0176,TIMING,1,1,0,0,0,-1,0,0,1,1,0,bd26c5b30bf775f5cf135597c8999e213a0059a20ce2f6bef5443f2f6c4df3bc,81058374f6b1bfb7d8c6d8cb322fb535e0a70223370a9d94665fd19cb012c351,3a5bd130ab4700763e5b90bc435465934cc226531cbdc66048581d516fb422b9,
final_0177,TIMING,1,1,0,0,0,-1,0,0,1,1,1,aebb93c988d67785e4350f18987f23c6926254bc5931d2d586c78accc3a60609,042cd5e7eb67c7f80db61b7a3cb3f982a62cae10a80a165b6d2dc55db4ca310a,ce007d4999dc4f2ac3dbe387cf7f5029784e22d9047a7ce0069772b5dd638c97,
final_0178,TIMING,1,1,0,0,0,-1,0,0,1,1,0,627c8f042b80d6b421c6c2a50726c32b8641dcf79c95caea7c1ed8770f05ebe1,801b3f91328933b267cc100b32174e617fb192c95c8a049c7af8d44237052532,804e1e1e53820eda848e6cf58aab17d5e148b30435e75cdfefbad59d88174f61,
final_0179,TIMING,1,1,0,0,0,-1,0,0,1,1,1,ebf46d629cacf4add540c7c2d97c46afc43b6be209ed13b8a4dbfd08e5abae9c,162d5925a369e352ff7315f1ffbd26d95d1cfd775fd9df2091f0159e781530c8,0f127f2101bbda2db7545af8b0ce7c48e95d33d9703ee69a3862873d674c6d7b,
final_0180,TIMING,1,1,0,0,0,-1,0,0,1,1,0,bc33a40b95d13df578996bf51f0005176b3c3478e76d2ac306b7f14dc4e934b1,801b3f91328933b267cc100b32174e617fb192c95c8a049c7af8d44237052532,556de093df911b9eec3ce45fb84aca1ebf6bc7b36f4da4b6cc80d5ca6513077f,
final_0181,TIMING,1,1,0,0,0,-1,0,0,1,1,1,aa59dd3d04926f8825cf90f0db14acd36d46572e811cb1e4cb19b1ec4c27c8d1,162d5925a369e352ff7315f1ffbd26d95d1cfd775fd9df2091f0159e781530c8,7af6ce5ed137c20c6a1f52a096826b11b9c6e52758a261c6067febf29148e1f1,
final_0182,TIMING,1,1,0,0,0,-1,0,0,1,1,0,21b10012b17a377acef2df70067169d40d5ec108cf740a2ddf042ec9c121b886,de51570f6187569805da325fb5d1e5fced95fb73f4ec17d2701405448ac80dc5,6c9513f676dab5cdfc996f9ff41f684e34cefe2f8e42567d9accac22b606f630,
final_0183,TIMING,1,1,0,0,0,-1,0,0,1,1,1,cdefa135ad1a56ebd94faeea162c4d5c8f4fe0da75013aa61bfea8b89f8d48a8,2d3305b5d023b96ae3ea5085a719412a1250fecad840199a66cd86877cfaad92,70ee21a9805487d707a83cf5533926f73ac55818245c615666bdc8fbb0b1e3a9,
final_0184,TIMING,1,1,0,0,0,-1,0,0,1,1,0,ef8c2a4bc5e80850a9200c2e151bbd019de3bf083b9dee233c9352758ab8723f,0070899dc28118f8ef8b079098012268f55e894f4f78682b66d3ad0a0d2dfd81,3a5bd130ab4700763e5b90bc435465934cc226531cbdc66048581d516fb422b9,
final_0185,TIMING,1,1,0,0,0,-1,0,0,1,1,1,9fba7361f06c79732b86e35bebf79866ba337fed23b5304d31351fdc1edf9eb3,d30998e91461105b0da467bd46c3951237afe3c22f57f2bdad26a502501a3347,ce007d4999dc4f2ac3dbe387cf7f5029784e22d9047a7ce0069772b5dd638c97,
final_0186,TIMING,1,1,0,0,0,-1,0,0,1,1,0,b2bdc38d4f82e6df40ed7586175f4febdff9bf29af5cd12cd7ea026aaec658c2,6090dc3e7f94408fd793579abd125299b2d54178410057dd015c5ecf09c02c5a,804e1e1e53820eda848e6cf58aab17d5e148b30435e75cdfefbad59d88174f61,
final_0187,TIMING,1,1,0,0,0,-1,0,0,1,1,1,5f82068d216b2319a5c40ee357454941de6d7f94d301c3620cd539bde8e90ab5,9254dc8e9817eb6b6d8ed81c1cf70b2e81fe0bb6fc3ff72cc83098fd8ef4bf3e,0f127f2101bbda2db7545af8b0ce7c48e95d33d9703ee69a3862873d674c6d7b,
final_0188,TIMING,1,1,0,0,0,-1,0,0,1,1,0,3adc9eb3d8de1abbe8e68c60f6a86ae738dca53f5226e2c70e48c33249c45b9e,6090dc3e7f94408fd793579abd125299b2d54178410057dd015c5ecf09c02c5a,556de093df911b9eec3ce45fb84aca1ebf6bc7b36f4da4b6cc80d5ca6513077f,
final_0189,TIMING,1,1,0,0,0,-1,0,0,1,1,1,f74878c76fdc5591d178abf46235953d6d99f00244d46639558c81a98cdb9f16,9254dc8e9817eb6b6d8ed81c1cf70b2e81fe0bb6fc3ff72cc83098fd8ef4bf3e,7af6ce5ed137c20c6a1f52a096826b11b9c6e52758a261c6067febf29148e1f1,
final_0190,TIMING,1,1,0,0,0,-1,0,0,1,1,0,4d96dfb326cbffcb0ca6659e0d14ccc7b607cb08b5710f4282700efeaef84631,c959cf023b5692e8a56c0a734ce77bb6db88cba0522d8a218e5edb7e217d9a1e,6c9513f676dab5cdfc996f9ff41f684e34cefe2f8e42567d9accac22b606f630,
final_0191,TIMING,1,1,0,0,0,-1,0,0,1,1,1,bd4bf8ada955e6624ebeea1d2dafdbb5e3830af8a8d918a1891f86e99af9724a,6e9706b98ae304880303a4dae4aa7747d8bedfbf35246371eb9c2852298a2a74,70ee21a9805487d707a83cf5533926f73ac55818245c615666bdc8fbb0b1e3a9,
final_0192,TIMING,1,1,0,0,0,-1,0,0,1,1,1,1aafc894f75389cb71d79a1d1cdb6f0f7a79979a88102bd6bcb2e32590ef4fba,ec2c47c9bbe12351c8d1fe9812b30b8a46e110d905877b0b24e7c6b54481c6ca,3a5bd130ab4700763e5b90bc435465934cc226531cbdc66048581d516fb422b9,
final_0193,TIMING,1,1,0,0,0,-1,0,0,1,1,1,40902058470de0e9651e9edb1c3bbbdd9f2cba205112983c04e0537bebde1194,600d6abc26a6e5f1070e250907069159089d1a720441ee7cd9667006130467ce,ce007d4999dc4f2ac3dbe387cf7f5029784e22d9047a7ce0069772b5dd638c97,
