method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Revised CLO-DSF,benign_static_target,150,0,150,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9995646281830467,0.9995646281830467,0.0,0.0,0,0,,
Revised CLO-DSF,slow_static_target,60,60,0,0,0.0,0.0,60,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,60,0.0,60,0.0,60,0.0,0,0,0,0.9999378548868333,0.9999378548868333,0.0,0.0,0,0,0,0.06017185214208986
Revised CLO-DSF,benign_authorized_updates,150,0,150,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9958903352039,0.9958903352039,0.0,0.0,0,0,,
Revised CLO-DSF,slow_authorized_updates,60,60,0,0,0.0,0.0,60,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,60,0.0,60,0.0,60,0.0,0,0,0,0.9983637618165834,0.9983637618165834,0.0,0.0,0,0,0,0.06017185214208986
Weighted Sum,slow_drift,120,120,0,60,0.5,0.5,60,0,,1.0,0.5,5450.0,7209.999999999999,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,120,0.5,120,0.5,120,0.5,0,0,60,1.0,1.0,0.0,0.0,0,0,0.41193870541108385,0.5880612945889161
Weighted Sum,weak_steps,60,60,0,33,0.55,0.55,27,0,,1.0,0.55,4400.0,5600.0,0,0.0,0,0,0.0,0.0,,0.0,33,1.0,0,0,0,60,0.55,60,0.55,60,0.55,0,0,33,1.0,1.0,0.0,0.0,0,0,0.4249193588533434,0.6690634559324476
Weighted Sum,pulses,60,60,0,45,0.75,0.75,14,0,,1.0,0.75,200.0,7300.0,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,60,0.75,60,0.75,58,0.7586206896551724,21,0,23,1.0,1.0,0.0,0.0,0,0,0.6276792992295218,0.8422347746994333
Weighted Sum,step_or_pulse,120,120,0,78,0.65,0.65,41,0,,1.0,0.65,3600.0,7129.999999999998,0,0.0,0,0,0.0,0.0,,0.0,78,1.0,0,0,0,120,0.65,120,0.65,118,0.652542372881356,21,0,56,1.0,1.0,0.0,0.0,0,0,0.561213245977243,0.729481004097146
Weighted Sum,effective_memory,184,184,0,183,0.9945652173913043,0.9945652173913043,1,0,,1.0,0.9945652173913043,0.0,6500.0,0,0.0,0,0,0.0,0.0,,0.0,183,1.0,0,0,0,184,0.9945652173913043,182,0.9945054945054945,182,0.9945054945054945,181,0,0,1.0,1.0,0.0,0.0,0,0,0.9698622032794392,0.9990399823330024
Weighted Sum,dormant_memory,56,56,0,11,0.19642857142857142,0.19642857142857142,0,0,,1.0,0.19642857142857142,6200.0,7150.0,0,0.0,0,0,0.0,0.0,,0.0,11,1.0,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,0.11338595674323658,0.31844607626458404
Weighted Sum,slow_negative,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,5850.0,7400.0,0,0.0,0,0,0.0,0.0,,0.0,30,1.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,1.0,1.0,0.0,0.0,0,0,0.3773502424155577,0.6226497575844423
Weighted Sum,slow_positive,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,5050.0,6509.999999999999,0,0.0,0,0,0.0,0.0,,0.0,30,1.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,1.0,1.0,0.0,0.0,0,0,0.3773502424155577,0.6226497575844423
Weighted Sum,slow_rise_7000,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,5750.0,7410.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Weighted Sum,slow_rise_19000,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,5450.0,7210.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Weighted Sum,slow_rise_47000,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,5150.0,6810.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Weighted Sum,communication_duration_200,48,48,0,16,0.3333333333333333,0.3333333333333333,0,0,,1.0,0.3333333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,16,1.0,0,0,0,48,0.3333333333333333,48,0.3333333333333333,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,0.21676780694818568,0.4745989029405201
Weighted Sum,communication_duration_700,45,45,0,45,1.0,1.0,0,0,,1.0,1.0,200.0,5959.999999999999,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,45,1.0,45,1.0,8,1.0,8,0,0,1.0,1.0,0.0,0.0,0,0,0.9213484012671117,1
Weighted Sum,communication_duration_2300,42,42,0,22,0.5238095238095238,0.5238095238095238,1,0,,1.0,0.5238095238095238,0.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,22,1.0,0,0,0,42,0.5238095238095238,42,0.5238095238095238,13,0.9230769230769231,12,0,0,1.0,1.0,0.0,0.0,0,0,0.3772246413134498,0.6664039876929454
