method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Weighted Sum,SENSOR_CONTROL,240,240,0,138,0.575,0.575,101,0,,1.0,0.575,4500.0,7215.000000000001,0,0.0,0,0,0.0,0.0,,0.0,138,1.0,0,0,0,240,0.575,240,0.575,238,0.5756302521008403,21,0,116,1.0,1.0,0.0,0.0,0,0,0.5117599333670207,0.6358769786417454
Weighted Sum,ACTUATOR,240,240,0,193,0.8041666666666667,0.8041666666666667,47,0,,1.0,0.8041666666666667,100.0,6139.999999999998,0,0.0,0,0,0.0,0.0,,0.0,193,1.0,0,0,0,240,0.8041666666666667,240,0.8041666666666667,240,0.8041666666666667,123,4,66,1.0,1.0,0.0,0.0,0,0,0.7493355608027431,0.8494141378994754
Weighted Sum,effective_memory,184,184,0,183,0.9945652173913043,0.9945652173913043,1,0,,1.0,0.9945652173913043,0.0,6500.0,0,0.0,0,0,0.0,0.0,,0.0,183,1.0,0,0,0,184,0.9945652173913043,182,0.9945054945054945,182,0.9945054945054945,181,0,0,1.0,1.0,0.0,0.0,0,0,0.9698622032794392,0.9990399823330024
Weighted Sum,dormant_memory,56,56,0,11,0.19642857142857142,0.19642857142857142,0,0,,1.0,0.19642857142857142,6200.0,7150.0,0,0.0,0,0,0.0,0.0,,0.0,11,1.0,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,0.11338595674323658,0.31844607626458404
Weighted Sum,weak_isolated_bias,40,40,0,21,0.525,0.525,19,0,,1.0,0.525,4600.0,5600.0,0,0.0,0,0,0.0,0.0,,0.0,21,1.0,0,0,0,40,0.525,40,0.525,40,0.525,0,0,21,1.0,1.0,0.0,0.0,0,0,0.3749736210669248,0.670645298873211
Weighted Sum,baseline,300,0,300,0,,,0,150,0.5,0.0,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,,
Weighted Sum,bit_flip,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,60,0,0,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
Weighted Sum,deadline_miss,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,120,1.0,0,0,0,120,1.0,120,1.0,79,1.0,79,0,0,1.0,1.0,0.0,0.0,0,0,0.9689808335812966,1
Weighted Sum,delayed_update,80,80,0,49,0.6125,0.6125,6,0,,1.0,0.6125,200.0,4619.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.8421052631578947,32,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Weighted Sum,dropped_update,80,80,0,49,0.6125,0.6125,2,0,,1.0,0.6125,200.0,6119.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.9473684210526315,36,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Weighted Sum,fan_stuck_off,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,200.0,400.0,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,50,4,6,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
