run_id,fit_samples,free_prediction_max_error_c
contract_benign_0108,120,1.2327352589713172
contract_benign_0109,120,0.8640412133411814
contract_benign_0110,120,2.1397631390260443
contract_benign_0111,120,1.615827860389473
contract_benign_0112,120,2.3326844398079203
contract_benign_0113,120,4.171029066665199
contract_benign_0114,120,0.797842269646722
contract_benign_0115,120,1.715297467277665
contract_benign_0116,120,1.4180305257372652
contract_benign_0117,120,1.2198943250108698
contract_benign_0118,120,2.09294144407653
contract_benign_0119,120,3.9276230599820394
contract_benign_0120,120,1.4807261875087505
contract_benign_0121,120,1.3116089795241805
contract_benign_0122,120,0.9676392846171353
contract_benign_0123,120,0.7655886879054066
contract_benign_0124,120,2.095351155106144
contract_benign_0125,120,4.592258398912833
contract_benign_0126,120,1.1913669257457542
contract_benign_0127,120,0.9306752791288488
contract_benign_0128,120,0.8727991775448487
contract_benign_0129,120,1.0565863355879088
contract_benign_0130,120,2.3318297405884323
contract_benign_0131,120,4.2426554711984465
contract_benign_0132,120,0.7391205966494283
contract_benign_0133,120,0.7349214403072324
contract_benign_0134,120,0.6224385803946006
contract_benign_0135,120,1.424546595893986
contract_benign_0136,120,1.987968179348556
contract_benign_0137,120,4.054467695380268
contract_benign_0138,120,0.6693617141312984
contract_benign_0139,120,1.4046347223901137
contract_benign_0140,120,0.9199953819065172
contract_benign_0141,120,0.8470455056264825
contract_benign_0142,120,1.88142981646169
contract_benign_0143,120,4.07520762593343
contract_benign_0144,120,1.1109591190444803
contract_benign_0145,120,0.9785708487950586
contract_benign_0146,120,0.5988452925162306
contract_benign_0147,120,0.8806800146799247
contract_benign_0148,120,1.9866324519882426
contract_benign_0149,120,4.41268743241919
contract_benign_0150,120,1.669096377423756
contract_benign_0151,120,1.4809328267654962
contract_benign_0152,120,1.1170497283344076
contract_benign_0153,120,0.8663963541679749
contract_benign_0154,120,1.9361131252178296
contract_benign_0155,120,4.5585344409969935
contract_benign_0156,120,1.17784706760645
contract_benign_0157,120,0.9185069029292805
contract_benign_0158,120,0.8215468601388096
contract_benign_0159,120,0.9147752140299161
contract_benign_0160,120,2.3339236221665516
contract_benign_0161,120,4.232539606466943
contract_benign_0162,120,0.7282999571910125
contract_benign_0163,120,0.7677405053184003
contract_benign_0164,120,0.6366184894319957
contract_benign_0165,120,1.3987834634424274
contract_benign_0166,120,1.9927349084501884
contract_benign_0167,120,4.049418615979107
contract_benign_0168,120,0.6913111052316765
contract_benign_0169,120,1.2528177399575071
contract_benign_0170,120,0.9075425907300314
contract_benign_0171,120,0.8375661234587284
contract_benign_0172,120,1.9078844067011573
contract_benign_0173,120,4.0368792565953555
contract_benign_0174,120,0.9345716333718315
contract_benign_0175,120,2.1148876266606322
contract_benign_0176,120,1.5976818147174043
contract_benign_0177,120,1.3874517618067017
contract_benign_0178,120,2.165152261037818
contract_benign_0179,120,3.998430505494099
contract_benign_0180,120,1.7001640402771017
contract_benign_0181,120,1.460891157671881
contract_benign_0182,120,1.1390835019237073
contract_benign_0183,120,0.8894821261440313
contract_benign_0184,120,1.9597245217589574
contract_benign_0185,120,4.4999630646531585
contract_benign_0186,120,1.199454236219637
contract_benign_0187,120,0.9409996065228796
contract_benign_0188,120,0.7055005277946407
contract_benign_0189,120,0.9249855870162236
contract_benign_0190,120,2.4551610153695407
contract_benign_0191,120,4.232809627243029
contract_benign_0192,120,0.7513872941463404
contract_benign_0193,120,0.7927779673751729
contract_benign_0194,120,0.7330038604437732
contract_benign_0195,120,1.2901401371474037
contract_benign_0196,120,2.019324638956064
contract_benign_0197,120,4.053171163189305
contract_benign_0198,120,0.7198087248797265
contract_benign_0199,120,1.0284943498890158
contract_benign_0200,120,2.65636944502873
contract_benign_0201,120,1.81977609019917
contract_benign_0202,120,2.4442705981458914
contract_benign_0203,120,4.242317405867681
contract_benign_0204,120,0.8626778517476765
contract_benign_0205,120,2.1566720846521292
contract_benign_0206,120,1.6189447629308233
contract_benign_0207,120,1.413609617543031
contract_benign_0208,120,2.1917290929902293
contract_benign_0209,120,4.006713881581263
contract_benign_0210,120,1.7324916674241848
contract_benign_0211,120,1.4172597079107732
contract_benign_0212,120,1.1613124617103097
contract_benign_0213,120,0.912782012026284
contract_benign_0214,120,2.057305574030991
contract_benign_0215,120,4.4274837861935055
contract_benign_0216,120,1.2211465304706905
contract_benign_0217,120,0.9635109407357589
contract_benign_0218,120,0.7296725347665642
contract_benign_0219,120,0.9638359141372348
contract_benign_0220,120,2.5722232627898336
contract_benign_0221,120,4.233054889032644
contract_benign_0222,120,0.7745949947679946
contract_benign_0223,120,0.815542652737463
contract_benign_0224,120,0.8293684900630609
contract_benign_0225,120,3.132817289865791
contract_benign_0226,120,3.5060729324339803
contract_benign_0227,120,4.45702173262967
contract_benign_0228,120,1.4181883466564642
contract_benign_0229,120,1.0391547727441122
contract_benign_0230,120,2.6122166704214393
contract_benign_0231,120,1.8038823172816052
contract_benign_0232,120,2.440092584384516
contract_benign_0233,120,4.232243089558537
contract_benign_0234,120,0.8532258887580753
contract_benign_0235,120,2.1160117432755072
contract_benign_0236,120,1.6050669672543734
contract_benign_0237,120,1.4039835429780823
contract_benign_0238,120,2.1964850265532903
contract_benign_0239,120,3.996699736174122
