partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-validation,Revised CLO-DSF,ALL,480,400,80,362,0.905,0.905,37,0,0.0,1.0,0.905,0.0,500.0,362,1.0,362,0,1.0,1.0,1.0,0.0,0,0.0,251,0,0,378,0.8994708994708994,377,0.8992042440318302,319,0.8840125391849529,251,21,10,0.7853782289030562,0.7870890347476375,0.0,6.347207139561411e-07,0,0
development-validation,Revised CLO-DSF,MEMORY,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,1604.9999999999998,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,57,0,0,58,1.0,57,1.0,57,1.0,57,0,0,0.6723553607542125,0.6724697428776125,0.0,1.4097245854684645e-07,0,0
development-validation,Revised CLO-DSF,TIMING,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,64,0,0,80,1.0,80,1.0,64,1.0,64,0,0,0.6963178619999125,0.6963178619999125,0.0,4.0562775398530775e-24,0,0
development-validation,Revised CLO-DSF,COMMUNICATION,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,39,0,0,80,1.0,80,1.0,39,1.0,39,0,0,0.7673430189584,0.767438719742025,0.0,3.66735182519e-06,0,0
development-validation,Revised CLO-DSF,SENSOR_CONTROL,80,80,0,42,0.525,0.525,37,0,,1.0,0.525,100.0,594.9999999999995,42,1.0,42,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,80,0.525,80,0.525,79,0.5316455696202531,11,21,10,0.931507202622125,0.931507202622125,0.0,0.0,0,0
development-validation,Revised CLO-DSF,ACTUATOR,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,304.9999999999997,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,80,0,0,80,1.0,80,1.0,80,1.0,80,0,0,0.64679029261805,0.6568450447785125,0.0,5.455481080043872e-24,0,0
development-validation,Weighted Sum,ALL,480,400,80,310,0.775,0.775,56,40,0.5,0.8857142857142857,0.775,100.0,9600.0,0,0.0,0,0,0.0,0.0,,0.0,310,1.0,0,0,0,378,0.8042328042328042,377,0.8037135278514589,319,0.8244514106583072,190,2,71,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,MEMORY,80,80,0,63,0.7875,0.7875,1,0,,1.0,0.7875,0.0,9790.0,0,0.0,0,0,0.0,0.0,,0.0,63,1.0,0,0,0,58,0.9827586206896551,57,0.9824561403508771,57,0.9824561403508771,56,0,0,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,TIMING,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,80,1.0,0,0,0,80,1.0,80,1.0,64,1.0,64,0,0,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,COMMUNICATION,80,80,0,58,0.725,0.725,5,0,,1.0,0.725,200.0,9515.0,0,0.0,0,0,0.0,0.0,,0.0,58,1.0,0,0,0,80,0.725,80,0.725,39,0.8717948717948718,28,1,5,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,SENSOR_CONTROL,80,80,0,48,0.6,0.6,31,0,,1.0,0.6,7250.0,10330.0,0,0.0,0,0,0.0,0.0,,0.0,48,1.0,0,0,0,80,0.6,80,0.6,79,0.6075949367088608,8,0,40,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,ACTUATOR,80,80,0,61,0.7625,0.7625,19,0,,1.0,0.7625,300.0,9500.0,0,0.0,0,0,0.0,0.0,,0.0,61,1.0,0,0,0,80,0.7625,80,0.7625,80,0.7625,34,1,26,1.0,1.0,0.0,0.0,0,0
