run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,workload,seed,simulation_duration_ms,sensor_variation,profile_semantic_sha256,configuration_sha256,initially_latent_stuck,effective_memory_corruption,first_integrity_mismatch_ms,first_consumption_mismatch_ms,first_sensor_residual_ms,first_positive_feature_ms,max_sensor_strength,raw_sha256,runtime_trace_sha256,method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples,alarm_UNKNOWN,alarm_MEMORY,alarm_TIMING,alarm_COMMUNICATION,alarm_SENSOR_CONTROL,alarm_ACTUATOR,injected,detected,false_alarm,latency_ms,integrity_latency_ms,control_effect,actuator_effect,plant_manifestation,propagation_plant_ms,propagation_control_ms,propagation_actuator_command_ms,silent_plant,wrong_localized_runtime_samples,miss_category,localized_correct,unknown_at_alarm,localized_wrong,localization_before_plant
current_0159,SENSOR_CONTROL,sensor_bias,transient,-1.2,0,25900,9700,operating_family_1,development-train,current_profile_0159,authorized_updates,1374,120000,0:0:6000,f08e09c2d030a8febe86c90536f70319c40b1f925f6cb55e6b9435cba09f2123,e0a846f9925a7a2525edafc720633095bf6da81e0d465467bbca365ab6429a59,0,0,-1,-1,25900,25900,0.49103546142578125,c0023410da6469fcfd89833d133e0bb4239eaca01810bf6ff540e6493b55f2ad,f58c9110c9941514b6465c3448e19967e50b819b9c3dbefd37b1bdc4f857f31e,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.996003112031,0.996003112031,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0159,SENSOR_CONTROL,sensor_bias,transient,-1.2,0,25900,9700,operating_family_1,development-train,current_profile_0159,authorized_updates,1374,120000,0:0:6000,f08e09c2d030a8febe86c90536f70319c40b1f925f6cb55e6b9435cba09f2123,e0a846f9925a7a2525edafc720633095bf6da81e0d465467bbca365ab6429a59,0,0,-1,-1,25900,25900,0.49103546142578125,c0023410da6469fcfd89833d133e0bb4239eaca01810bf6ff540e6493b55f2ad,f58c9110c9941514b6465c3448e19967e50b819b9c3dbefd37b1bdc4f857f31e,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.996003112031,0.996003112031,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0160,SENSOR_CONTROL,sensor_bias,transient,1.2,0,26200,13700,operating_family_1,development-train,current_profile_0160,static_target,1375,120000,0:0:6000,ee47b9b06ff00b221f8459a3959b9ec35cbd279cca94b53e5f271569d61f2799,426c9f2129f0fbd6abd5807181245c3e401217fdf093942b5449802e8ddba883,0,0,-1,-1,26200,26200,0.4805145263671875,c61e96464dfdd6a992d31bc79c51143fe68c3e9f9dea29fb7be9e149d43eb430,b3a730f25db5e2628972c51a9fb541406333122b6a5576f733541cf7527dde19,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.99602139145,0.99602139145,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0160,SENSOR_CONTROL,sensor_bias,transient,1.2,0,26200,13700,operating_family_1,development-train,current_profile_0160,static_target,1375,120000,0:0:6000,ee47b9b06ff00b221f8459a3959b9ec35cbd279cca94b53e5f271569d61f2799,426c9f2129f0fbd6abd5807181245c3e401217fdf093942b5449802e8ddba883,0,0,-1,-1,26200,26200,0.4805145263671875,c61e96464dfdd6a992d31bc79c51143fe68c3e9f9dea29fb7be9e149d43eb430,b3a730f25db5e2628972c51a9fb541406333122b6a5576f733541cf7527dde19,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.99602139145,0.99602139145,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0163,SENSOR_CONTROL,sensor_bias,intermittent,-1.2,0,24700,13700,operating_family_1,development-train,current_profile_0163,authorized_updates,1378,120000,0:0:6000,1489550afc091e89906a01f10ae8ad8cc05f688857957d44a6a4b26230c44abb,9e488cd06017b90f0f0bb74309a5f6e11c3c223f6e5d236bba7d4319dda425fa,0,0,-1,-1,24700,24700,0.4823951721191406,dfaa6edbda9d73033bb7b3c3f3489e3221378f918798e4c71b5c0eee9947d9b0,6b1df9ad6bd1a4ed28178335b6bf9bc089f5c10150f6ffa3d72a959d5ee91d1f,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.992202346989,0.992202346989,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,24800,24700,24700,1,0,A,0,0,0,0
current_0163,SENSOR_CONTROL,sensor_bias,intermittent,-1.2,0,24700,13700,operating_family_1,development-train,current_profile_0163,authorized_updates,1378,120000,0:0:6000,1489550afc091e89906a01f10ae8ad8cc05f688857957d44a6a4b26230c44abb,9e488cd06017b90f0f0bb74309a5f6e11c3c223f6e5d236bba7d4319dda425fa,0,0,-1,-1,24700,24700,0.4823951721191406,dfaa6edbda9d73033bb7b3c3f3489e3221378f918798e4c71b5c0eee9947d9b0,6b1df9ad6bd1a4ed28178335b6bf9bc089f5c10150f6ffa3d72a959d5ee91d1f,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.992202346989,0.992202346989,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,24800,24700,24700,1,0,A,0,0,0,0
current_0167,SENSOR_CONTROL,sensor_bias,permanent,-1.2,0,25900,18500,operating_family_1,development-train,current_profile_0167,authorized_updates,1382,120000,0:0:6000,319c4f0c913a8b2422053bea4a27e9e99da900040f2c4b3378b712ef6fcc814a,b27b100db8c3528eb6b90dc8bc4380473282a2aa51b1d08aa8ea459da1dcd6df,0,0,-1,-1,25900,25900,0.4764747619628906,78491de1ee90ff47ad6c44a255b3461e18fd8bfee452fc9cc3260189e1036b48,c73bbbd254f5475f61c2a0888b6ec2aea09a0ad3c968268f3284b26df65828cd,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.996063794621,0.996063794621,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0167,SENSOR_CONTROL,sensor_bias,permanent,-1.2,0,25900,18500,operating_family_1,development-train,current_profile_0167,authorized_updates,1382,120000,0:0:6000,319c4f0c913a8b2422053bea4a27e9e99da900040f2c4b3378b712ef6fcc814a,b27b100db8c3528eb6b90dc8bc4380473282a2aa51b1d08aa8ea459da1dcd6df,0,0,-1,-1,25900,25900,0.4764747619628906,78491de1ee90ff47ad6c44a255b3461e18fd8bfee452fc9cc3260189e1036b48,c73bbbd254f5475f61c2a0888b6ec2aea09a0ad3c968268f3284b26df65828cd,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.996063794621,0.996063794621,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0168,SENSOR_CONTROL,sensor_bias,permanent,1.2,0,26200,9700,operating_family_1,development-train,current_profile_0168,static_target,1383,120000,0:0:6000,a25812d7f7e5b6e8e43bef921e390b580aef42ff8217f460685b8988374d6db7,665c3a6b2e827527563bd7a32beddd29acbc3368e61a32a5849afa1bd0bc3525,0,0,-1,-1,26200,26200,0.48052978515625,a31a14d2298f058b5ead17be57ad9666eb1c354b3fe9c272dff7ee53b8419d81,46a378855619fd12553ae900d5247714ec77c8ae735dfeccf0fba3390b720baf,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.996020136825,0.996020136825,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0168,SENSOR_CONTROL,sensor_bias,permanent,1.2,0,26200,9700,operating_family_1,development-train,current_profile_0168,static_target,1383,120000,0:0:6000,a25812d7f7e5b6e8e43bef921e390b580aef42ff8217f460685b8988374d6db7,665c3a6b2e827527563bd7a32beddd29acbc3368e61a32a5849afa1bd0bc3525,0,0,-1,-1,26200,26200,0.48052978515625,a31a14d2298f058b5ead17be57ad9666eb1c354b3fe9c272dff7ee53b8419d81,46a378855619fd12553ae900d5247714ec77c8ae735dfeccf0fba3390b720baf,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.996020136825,0.996020136825,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
